Title,Category,SubCategory,Frequency,ParentExists,Child,Discontinued
CPI - Sugar - PDS (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Sugar and Confectionary (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Sugar and Confectionary (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Sugar and Confectionary (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Suitcase, trunk, box, handbag and other travel goods (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Suji, rawa (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Sweeper (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Tailor (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Tamarind (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Taxi, auto-rickshaw fare (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Tea: cups (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Tea: leaf (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Telephone charges: landline (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Telephone charges: mobile (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Television (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Toddy (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Toilet soap (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Tomato (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Toothpaste, toothbrush, comb, etc. (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Torch (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Transport and Communication (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Transport and Communication (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Transport and Communication (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Tuition and other fees (school, college, etc.) (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Turmeric (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Tyres & tubes (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Umbrella, raincoat (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Urad (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Vanaspati, margarine (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - VCD/ DVD hire (incl. instrument) (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - VCR/VCD/DVD player (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Vegetables (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Vegetables (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Vegetables (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Walnut (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Washerman, laundry, ironing (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Washing machine (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Washing soap/soda/powder (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Watch man charges (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Water charges (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Water purifier (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Watermelon (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Wheat/ atta - other sources (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Wheat/ atta - PDS (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - X-ray, ECG, pathological test, etc. (non-institutional) (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Zarda, kimam, surti (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI Agricultural Labourers,Inflation,CPI,Monthly,N,Y,N
"CPI Agricultural Labourers - Clothing, Bedding and Footwear",Inflation,CPI,Monthly,Y,N,N
CPI Agricultural Labourers - Food,Inflation,CPI,Monthly,Y,N,N
CPI Agricultural Labourers - Fuel and Light,Inflation,CPI,Monthly,Y,N,N
CPI Agricultural Labourers - Miscellaneous Items,Inflation,CPI,Monthly,Y,N,N
"CPI Agricultural Labourers - Pan, Tobacco, Intoxicants",Inflation,CPI,Monthly,Y,N,N
CPI Industrial Workers - All Items (2001 base year),Inflation,CPI,Monthly,N,Y,Y
CPI Industrial Workers - All Items excluding Food (2001 base year),Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - All Items excluding Food and Fuel (2001 base year),Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - Cereals and Products (2001 base year),Inflation,CPI,Monthly,Y,N,Y
"CPI Industrial Workers - Clothing, Bedding and Footwear (2001 base year)",Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - Condiments and Spices (2001 base year),Inflation,CPI,Monthly,Y,N,Y
"CPI Industrial Workers - Education, Recreation and Amusement (2001 base year)",Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - Food Group (2001 base year),Inflation,CPI,Monthly,Y,Y,Y
CPI Industrial Workers - Fuel and Light (2001 base year),Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - Housing (2001 base year),Inflation,CPI,Monthly,Y,N,Y
"CPI Industrial Workers - Meat, Fish and Eggs (2001 base year)",Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - Medical Care (2001 base year),Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - Milk and Milk Products (2001 base year),Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - Miscellaneous Items (2001 base year),Inflation,CPI,Monthly,Y,Y,Y
CPI Industrial Workers - Oils and Fats (2001 base year),Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - Other Food (2001 base year),Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - Other Miscellaneous Items (2001 base year),Inflation,CPI,Monthly,Y,N,Y
"CPI Industrial Workers - Pan, Supari, Intoxicants (2001 base year)",Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - Personal Care and Effects (2001 base year),Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - Pulses and Products (2001 base year),Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - Transport and Communication (2001 base year),Inflation,CPI,Monthly,Y,N,Y
CPI Industrial Workers - Vegetables and Fruits (2001 base year),Inflation,CPI,Monthly,Y,N,Y
CPI Miscellaneous excl Retail Fuel and Gold and Silver (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI Personal Care and Effects excl Gold and Silver (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI Rural Labourers,Inflation,CPI,Monthly,N,Y,N
"CPI Rural Labourers - Clothing, Bedding and Footwear",Inflation,CPI,Monthly,Y,N,N
CPI Rural Labourers - Food,Inflation,CPI,Monthly,Y,N,N
CPI Rural Labourers - Fuel and Light,Inflation,CPI,Monthly,Y,N,N
CPI Rural Labourers - Miscellaneous Items,Inflation,CPI,Monthly,Y,N,N
"CPI Rural Labourers - Pan, Tobacco, Intoxicants",Inflation,CPI,Monthly,Y,N,N
CPI Transport and Communication excl Petrol and Diesel (2012 series),Inflation,CPI,Monthly,Y,N,N
WPI - A C Motor (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Acetic acid and Its Derivatives (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Acrylic fibre (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Acrylic/plastic sheet (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - ACSR Conductors (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Additive (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Adhesive excluding gum (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Adhesive tape (non-medicinal) (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Aerated drinks/Soft Drinks (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Agarbatti (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Agricultural tractors (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Agriculture implements (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Agro chemical formulation (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Air conditioner (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Air conditioning plant (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Air Coolers (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Air filters (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Air gas compressor including compressor for refrigerator (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Air or vacuum pump (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Alcohols (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Alkyl Benzene (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - All Commodities (2004-05 series),Inflation,WPI,Monthly,N,N,Y
WPI - All Commodities (2011-12 series),Inflation,WPI,Monthly,N,Y,N
WPI - All Food Items (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Alloy steel castings (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Alloy steel other than Stainless Steel- Shapes (2011-12 series),Inflation,WPI,Monthly,Y,Y,N
WPI - Alloy steel Wire rods (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Almonds (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Aluminium alloys (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Aluminium castings (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Aluminium Disk and Circles (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Aluminium ingot (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Aluminium metal (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Aluminium powder (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Aluminium shapes - bars/rods/flats (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Aluminium utensils (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Aluminium wire (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Aluminium/Alloy Conductor (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Alumnium Foil (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Amine (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Amla (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Ammonia gas (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Ammonia liquid (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Ammonium nitrate (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Ammonium phosphate (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Ammonium sulphate (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Amplifier (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Angles, Channels, Sections, steel (coated/not) (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
"WPI - Aniline (including pna, ona, ocpna) (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Anti allergic drugs (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Anti cancer drugs (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Anti inflammatory preparation (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Antibiotics & preparations thereof (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Antidiabetic drug excluding insulin (i.e. tolbutam) (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Anti-malarial drugs (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Antioxidants (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Antipyretic, analgesic, anti-inflammatory formulations (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Anti-retroviral drugs for HIV treatment (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Antiseptics and disinfectants (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - API & formulations of vitamins (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Apple (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Arhar (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Aromatic chemicals (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Asbestos corrugated sheet (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Athletic/sport shoes (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Auto rickshaw/Tempo/Matador/Three wheelers (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Auxiliary plant for use with boilers (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Aviation Turbine Fuel (ATF) (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Axles of motor vehicles (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Ayurvedic medicaments (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Babies garments, knitted (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Bagasse (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Bajra (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Bakery products (2011-12 series),Inflation,WPI,Monthly,Y,Y,N
WPI - Banana (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Barley (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Base paper (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Basic Metals, Alloys & Metal Products (2004-05 series)",Inflation,WPI,Monthly,N,N,Y
WPI - Basmati rice (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Batteries (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Bauxite (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Beans (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Bed linen/Bed Spread (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Beef and Buffalo Meat (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Beer (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Belt & Other Articles of Leather (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Betel Leaves (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Betelnut/Arecanut (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Beverages, Tobacco & Tobacco Products (2004-05 series)",Inflation,WPI,Monthly,N,N,Y
WPI - Bicycles of all types (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Bidis (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Biscuit, cookies (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Bitter gourd (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Bitumen (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Black Pepper (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Blankets (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Body (for commercial motor vehicles) (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Boilers (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Bolts, screws, nuts & nails of Iron & steel (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Bottle gourd (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Bracket (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Brake pad/brake liner/brake block/Brake rubber, others (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Brass metal/sheet/coils (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Bread, buns & croissant (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Brinjal (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Bristle paper board (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Buffalo meat, fresh/frozen (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Building of ships and floating structures (2011-12 series),Inflation,WPI,Monthly,Y,Y,N
WPI - Butter (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cabbage (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Cakes, pastries & muffins (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Camphor (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Canvas shoes (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Capacitors (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Carbon Black (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Card board (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Card board box (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cardamom (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Cardigans and pullovers, knitted (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Carpets and other floor coverings of textiles (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Carrom board (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Carrot (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cashew nut (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Cast iron, castings (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Castings (2011-12 series),Inflation,WPI,Monthly,Y,Y,N
WPI - Castor Oil (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Castor Seed (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Catalysts (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cauliflower (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Caustic soda (sodium hydroxide) (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cement blocks (concrete) (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cement superfine (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Centrifugal Pumps (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Ceramic tiles (Vitrified tiles) (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cereals (2004-05 series),Inflation,WPI,Monthly,N,N,Y
WPI - Cereals (2011-12 series),Inflation,WPI,Monthly,Y,Y,N
WPI - Chain (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Chassis of different vehicle types (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Chemical equipment & system (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Chemicals & Chemical Products (2004-05 series),Inflation,WPI,Monthly,N,N,Y
"WPI - Chicken/duck, dressed - fresh/frozen (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Chillers (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Chillies (Dry) (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Chocolate & cocoa powder (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Chrome Tanned Leather (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Chromite (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cigarettes (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Clinker (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Clock (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Clutches and shaft couplings (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Coal (2004-05 series),Inflation,WPI,Monthly,N,N,Y
WPI - Coal (2011-12 series),Inflation,WPI,Monthly,Y,Y,N
"WPI - Cocoa, chocolate and sugar confectionery (2011-12 series)",Inflation,WPI,Monthly,Y,Y,N
WPI - Coconut fresh (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Coffee (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Coffee powder with chicory (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Coir Fibre (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Coking Coal (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Cold Rolled (CR) Coils & Sheets, including Narrow Strip (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Colour TV (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Computer peripherals (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Concrete vibrator & mixture (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Condensed Milk (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Condiments & Spices (2004-05 series),Inflation,WPI,Monthly,N,N,Y
WPI - Condiments & Spices (2011-12 series),Inflation,WPI,Monthly,Y,Y,N
WPI - Condoms (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Connector/plug/socket/holder-electric (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Conveyer belt (fibre based) (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Conveyors - non-roller type (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cooling tower (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Copper bolts, screws, nuts (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Copper Concentrate (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Copper metal/Copper Rings (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Copper shapes - bars/rods/plates/strips (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Copper wire (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Copra (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Copra oil (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cordage/ropes/twines of jute and coir (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Coriander (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Corn Flake (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Corrugated paper board (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Corrugated sheet box (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Cotton cloth (dyed, printed, or otherwise finished/processed) (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Cotton Dyed/printed textile (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cotton hosiery cloth (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cotton Seed (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cotton seed Oil (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cotton seed oil cake (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cotton Towel (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cotton wool (medicinal) (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cotton woven cloth (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cotton Yarn (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Country Liquor (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cranes (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Crankshaft (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Creams & Lotions for External Application (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cricket ball (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cricket Bat (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Crude Petroleum & Natural Gas (2011-12 series),Inflation,WPI,Monthly,Y,Y,N
WPI - Crude Petroleum (2004-05 series),Inflation,WPI,Monthly,N,N,Y
WPI - Crude Petroleum (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cucumber (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cumin (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Curtains (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Cutting, shaping and finishing of stone (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Cycle/Cycle rickshaw tyre (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cylinder liners (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Cylinders (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Dairy products (2011-12 series),Inflation,WPI,Monthly,Y,Y,N
WPI - Deep freezers (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Detergent cake, washing soap cake/bar/powder (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
WPI - Di ammonium phosphate (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Diesel (HSD) (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Diesel/Electric locomotive (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Digestive enzymes and antacids (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Domestic gas stove (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Drilling Machine (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Drumstick (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Dry cells such as torch light batteries (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Dumper (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Duplex paper (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Dye stuff/dyes incl. dye intermediates and pigments/colours (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Earth moving machinery (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Egg (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Eggs, Meat & Fish (2011-12 series)",Inflation,WPI,Monthly,Y,Y,N
"WPI - Eggs,Meat & Fish (2004-05 series)",Inflation,WPI,Monthly,N,N,Y
WPI - Elastic webbing (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electric & other meters (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electric accumulators (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electric filament type lamps (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electric heaters (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electric insulating material (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electric Mixers/Grinders/Food Processors (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electric switch (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electric switch gear control/starter (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electric welding machine (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electric Wires & Cables (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electrical ballast & chokes (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electrical relay/conductor (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electrical resistors (except heating resistors) (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electrical stamping- Laminated or otherwise (2011-12 series),Inflation,WPI,Monthly,Y,N,N
WPI - Electricity (2004-05 series),Inflation,WPI,Monthly,N,N,Y
WPI - Electricity (2011-12 series),Inflation,WPI,Monthly,Y,N,N
"WPI - Electro-diagnostic apparatus, used in medical, surgical, dental or veterinary sciences (2011-12 series)",Inflation,WPI,Monthly,Y,N,N
