Title,Category,SubCategory,Frequency,ParentExists,Child,Discontinued
"CPI - Coir, rope, etc. (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Coke (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Cold beverages: bottled/canned (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Cooked meals purchased  (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Cooked snacks purchased [samosa, puri, paratha, burger, chowmein, idli, dosa, vada, chops, pakoras, paobhaji, etc.] (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Country liquor (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Curd (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Curry powder (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Dates (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Dhania (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Dhoti (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Diesel [excl. conveyance] (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Diesel for vehicle (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Doctor/ surgeon fee-first consultation (non-institutional) (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Domestic servant/cook (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Dry chillies (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Dung cake (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Earthenware (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Education (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Education (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Education (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Egg (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Egg (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Egg (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Electric batteries (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Electric bulb, tubelight (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Electric fan (2012 series),Inflation,CPI,Monthly,Y,N,N
